301,179,95,43,Ƭ
400,143,67,15,ƭ
300,111,47,0,Ʈ
3823,255,253,227,Ư
3855,250,211,150,ư
3854,242,175,104,Ʊ
3853,242,151,70,Ʋ
3827,247,187,119,Ƴ
977,220,156,86,ƴ
976,194,129,66,Ƶ
3826,173,114,57,ƶ
975,145,79,18,Ʒ
948,254,231,218,Ƹ
754,247,203,191,ƹ
3771,244,187,169,ƺ
758,238,170,155,ƻ
3778,217,137,120,Ƽ
356,197,106,91,ƽ
3830,185,85,68,ƾ
355,152,68,54,ƿ
3777,134,48,34,ǀ
3779,248,202,200,ǁ
3859,186,139,124,ǂ
3858,150,74,63,ǃ
3857,104,37,26,Ǆ
3774,243,225,215,ǅ
950,238,211,196,ǆ
3064,196,142,112,Ǉ
407,187,129,97,ǈ
3773,182,117,82,ǉ
3772,160,108,80,Ǌ
632,135,85,57,ǋ
453,215,206,203,ǌ
452,192,179,174,Ǎ
451,145,123,115,ǎ
3861,166,136,129,Ǐ
3860,125,93,87,ǐ
779,98,75,69,Ǒ
712,255,251,239,ǒ
739,248,228,200,Ǔ
738,236,204,158,ǔ
437,228,187,142,Ǖ
436,203,144,81,ǖ
435,184,119,72,Ǘ
434,152,94,51,ǘ
433,122,69,31,Ǚ
801,101,57,25,ǚ
898,73,42,19,Ǜ
938,54,31,14,ǜ
3371,30,17,8,ǝ
543,242,227,206,Ǟ
3864,203,182,156,ǟ
3863,164,131,92,Ǡ
3862,138,110,78,ǡ
3031,75,60,42,Ǣ
B5200,255,255,255,ǣ
White,252,251,248,Ǥ
3865,249,247,241,ǥ
Erucu,240,234,218,Ǧ
822,231,226,211,ǧ
644,221,216,203,Ǩ
642,164,152,120,ǩ
640,133,123,97,Ǫ
3787,98,93,80,ǫ
3021,79,75,65,Ǭ
3024,235,234,231,ǭ
3023,177,170,151,Ǯ
3022,142,144,120,ǯ
535,99,100,88,ǰ
3033,227,216,204,Ǳ
3782,210,188,166,ǲ
3032,179,159,139,ǳ
3790,127,106,85,Ǵ
3781,107,87,67,ǵ
3866,250,246,240,Ƕ
842,209,186,161,Ƿ
841,182,155,126,Ǹ
840,154,124,92,ǹ
839,103,85,65,Ǻ
838,89,73,55,ǻ
3072,230,232,232,Ǽ
648,188,180,172,ǽ
647,176,166,156,Ǿ
646,135,125,115,ǿ
645,110,101,92,Ȁ
844,72,72,72,ȁ
762,236,236,236,Ȃ
415,211,211,214,ȃ
318,171,171,171,Ȅ
414,140,140,140,ȅ
168,209,209,209,Ȇ
169,132,132,132,ȇ
317,108,108,108,Ȉ
413,86,86,86,ȉ
3799,66,66,66,Ȋ
310,0,0,0,ȋ
1,227,227,230,Ȍ
2,215,215,216,ȍ
3,184,184,187,Ȏ
4,174,174,177,ȏ
5,227,204,190,Ȑ
6,220,198,184,ȑ
7,143,123,110,Ȓ
8,106,80,70,ȓ
9,85,32,14,Ȕ
10,237,254,217,ȕ
11,226,237,181,Ȗ
12,205,217,154,ȗ
13,191,246,224,Ș
14,208,251,178,ș
15,209,237,164,Ț
16,201,194,88,ț
17,229,226,114,Ȝ
18,217,213,109,ȝ
19,247,201,95,Ȟ
20,247,175,147,ȟ
21,215,153,130,Ƞ
22,188,96,78,ȡ
23,237,226,237,Ȣ
24,224,215,238,ȣ
25,218,210,233,Ȥ
26,215,202,230,ȥ
27,240,238,249,Ȧ
28,144,134,169,ȧ
29,103,64,118,Ȩ
30,125,119,165,ȩ
31,80,81,141,Ȫ
32,77,46,138,ȫ
33,156,89,158,Ȭ
34,125,48,100,ȭ
35,70,5,45,Ȯ
